epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,663.4,1.49819,3.33898,1.21571,0.66551,0.18345,0.37164,0.26523,1.06136,3.0528,0.92468,0.000193421,0.000193421,0.000193421
2,1759.7,1.30173,1.84035,1.09658,0.46242,0.63985,0.58357,0.40824,1.06651,1.66904,0.95628,0.000350868,0.000350868,0.000350868
3,2834.54,1.23543,1.46927,1.05717,0.68463,0.79909,0.83065,0.57458,1.02953,1.28364,0.9477,0.000469508,0.000469508,0.000469508
4,3581.42,1.18946,1.18622,1.05803,0.79946,0.87387,0.91479,0.66784,0.9558,1.13652,0.93468,0.000413364,0.000413364,0.000413364
5,4612.48,1.13887,1.07058,1.03263,0.89405,0.92694,0.96394,0.71935,0.91509,0.90778,0.91896,0.000355152,0.000355152,0.000355152
6,5550.71,1.10533,0.98916,1.02626,0.94466,0.9281,0.96761,0.6935,1.04942,0.9211,0.94548,0.00029694,0.00029694,0.00029694
7,40113.7,1.09565,0.91943,1.01696,0.93617,0.95005,0.97156,0.73521,0.91073,0.83425,0.93372,0.000238728,0.000238728,0.000238728
8,40772.3,1.05166,0.84432,1.01231,0.96262,0.95727,0.98022,0.7449,0.8927,0.79118,0.91916,0.000180516,0.000180516,0.000180516
9,41420.8,1.03226,0.82651,1.00202,0.98119,0.95812,0.98458,0.76706,0.83778,0.76125,0.90193,0.000122304,0.000122304,0.000122304
10,42156.4,1.0098,0.80159,0.98359,0.9549,0.97492,0.98343,0.76324,0.84437,0.7354,0.90084,6.4092e-05,6.4092e-05,6.4092e-05
