epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,893.037,0.69559,3.16704,0.94565,0.52645,0.27496,0.34621,0.32935,0.30267,2.22434,0.80437,0.000194,0.000194,0.000194
2,1771.82,0.29853,1.21215,0.80819,0.78918,0.9115,0.9601,0.93945,0.26428,0.75084,0.77816,0.00035139,0.00035139,0.00035139
3,2560.24,0.25281,0.71109,0.79778,0.98746,0.99488,0.995,0.97113,0.22024,0.50079,0.77717,0.000469972,0.000469972,0.000469972
4,3339.86,0.21334,0.5147,0.79246,0.99811,0.99995,0.995,0.98986,0.20192,0.37628,0.77065,0.000413364,0.000413364,0.000413364
5,4158.97,0.19385,0.44345,0.78871,0.99462,1,0.995,0.99054,0.12614,0.35046,0.74222,0.000355152,0.000355152,0.000355152
6,4940.96,0.17619,0.39265,0.78692,0.9982,1,0.995,0.995,0.11908,0.28377,0.73664,0.00029694,0.00029694,0.00029694
7,5719.63,0.1609,0.36644,0.78205,0.99856,0.99975,0.995,0.995,0.10804,0.28416,0.73425,0.000238728,0.000238728,0.000238728
8,6492.68,0.14665,0.34483,0.78427,0.99859,0.99999,0.995,0.995,0.08767,0.26656,0.73819,0.000180516,0.000180516,0.000180516
9,7306.05,0.14145,0.33088,0.78232,0.9992,1,0.995,0.995,0.08342,0.23173,0.73822,0.000122304,0.000122304,0.000122304
10,8079.51,0.13074,0.319,0.78197,0.99949,1,0.995,0.995,0.07949,0.22919,0.74486,6.4092e-05,6.4092e-05,6.4092e-05
